Descriptores,2008|Total,2008|Financiamiento|Total de residentes,2008|Financiamiento|Hogares,2008|Financiamiento|ISFL,2008|Financiamiento|Total de gobierno,2008|Financiamiento|Niveles de gobierno|Gobierno federal,2008|Financiamiento|Niveles de gobierno|Gobierno estatal,2008|Financiamiento|Niveles de gobierno|Gobierno municipal,2008|Financiamiento|Sociedades no financieras,2008|Financiamiento|Total no residentes,2009|Total,2009|Financiamiento|Total de residentes,2009|Financiamiento|Hogares,2009|Financiamiento|ISFL,2009|Financiamiento|Total de gobierno,2009|Financiamiento|Niveles de gobierno|Gobierno federal,2009|Financiamiento|Niveles de gobierno|Gobierno estatal,2009|Financiamiento|Niveles de gobierno|Gobierno municipal,2009|Financiamiento|Sociedades no financieras,2009|Financiamiento|Total no residentes,2010|Total,2010|Financiamiento|Total de residentes,2010|Financiamiento|Hogares,2010|Financiamiento|ISFL,2010|Financiamiento|Total de gobierno,2010|Financiamiento|Niveles de gobierno|Gobierno federal,2010|Financiamiento|Niveles de gobierno|Gobierno estatal,2010|Financiamiento|Niveles de gobierno|Gobierno municipal,2010|Financiamiento|Sociedades no financieras,2010|Financiamiento|Total no residentes,2011|Total,2011|Financiamiento|Total de residentes,2011|Financiamiento|Hogares,2011|Financiamiento|ISFL,2011|Financiamiento|Total de gobierno,2011|Financiamiento|Niveles de gobierno|Gobierno federal,2011|Financiamiento|Niveles de gobierno|Gobierno estatal,2011|Financiamiento|Niveles de gobierno|Gobierno municipal,2011|Financiamiento|Sociedades no financieras,2011|Financiamiento|Total no residentes,2012|Total,2012|Financiamiento|Total de residentes,2012|Financiamiento|Hogares,2012|Financiamiento|ISFL,2012|Financiamiento|Total de gobierno,2012|Financiamiento|Niveles de gobierno|Gobierno federal,2012|Financiamiento|Niveles de gobierno|Gobierno estatal,2012|Financiamiento|Niveles de gobierno|Gobierno municipal,2012|Financiamiento|Sociedades no financieras,2012|Financiamiento|Total no residentes,2013|Total,2013|Financiamiento|Total de residentes,2013|Financiamiento|Hogares,2013|Financiamiento|ISFL,2013|Financiamiento|Total de gobierno,2013|Financiamiento|Niveles de gobierno|Gobierno federal,2013|Financiamiento|Niveles de gobierno|Gobierno estatal,2013|Financiamiento|Niveles de gobierno|Gobierno municipal,2013|Financiamiento|Sociedades no financieras,2013|Financiamiento|Total no residentes,2014|Total,2014|Financiamiento|Total de residentes,2014|Financiamiento|Hogares,2014|Financiamiento|ISFL,2014|Financiamiento|Total de gobierno,2014|Financiamiento|Niveles de gobierno|Gobierno federal,2014|Financiamiento|Niveles de gobierno|Gobierno estatal,2014|Financiamiento|Niveles de gobierno|Gobierno municipal,2014|Financiamiento|Sociedades no financieras,2014|Financiamiento|Total no residentes,2015|Total,2015|Financiamiento|Total de residentes,2015|Financiamiento|Hogares,2015|Financiamiento|ISFL,2015|Financiamiento|Total de gobierno,2015|Financiamiento|Niveles de gobierno|Gobierno federal,2015|Financiamiento|Niveles de gobierno|Gobierno estatal,2015|Financiamiento|Niveles de gobierno|Gobierno municipal,2015|Financiamiento|Sociedades no financieras,2015|Financiamiento|Total no residentes,2016|Total,2016|Financiamiento|Total de residentes,2016|Financiamiento|Hogares,2016|Financiamiento|ISFL,2016|Financiamiento|Total de gobierno,2016|Financiamiento|Niveles de gobierno|Gobierno federal,2016|Financiamiento|Niveles de gobierno|Gobierno estatal,2016|Financiamiento|Niveles de gobierno|Gobierno municipal,2016|Financiamiento|Sociedades no financieras,2016|Financiamiento|Total no residentes,2017|Total,2017|Financiamiento|Total de residentes,2017|Financiamiento|Hogares,2017|Financiamiento|ISFL,2017|Financiamiento|Total de gobierno,2017|Financiamiento|Niveles de gobierno|Gobierno federal,2017|Financiamiento|Niveles de gobierno|Gobierno estatal,2017|Financiamiento|Niveles de gobierno|Gobierno municipal,2017|Financiamiento|Sociedades no financieras,2017|Financiamiento|Total no residentes,2018|Total<P>,2018|Financiamiento|Total de residentes<P>,2018|Financiamiento|Hogares<P>,2018|Financiamiento|ISFL<P>,2018|Financiamiento|Total de gobierno<P>,2018|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2018|Financiamiento|Sociedades no financieras<P>,2018|Financiamiento|Total no residentes<P>,2019|Total<P>,2019|Financiamiento|Total de residentes<P>,2019|Financiamiento|Hogares<P>,2019|Financiamiento|ISFL<P>,2019|Financiamiento|Total de gobierno<P>,2019|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2019|Financiamiento|Sociedades no financieras<P>,2019|Financiamiento|Total no residentes<P>
Millones de pesos a precios corrientes|Total cultura,532004.648,519419.875,431871.05,3471.239,53190.691,53190.691,NA,NA,30886.895,12584.773,550863.733,537611.81,446865.243,3375.617,57648.323,57648.323,NA,NA,29722.628,13251.923,582568.595,569236.642,476325.139,3742.401,58714.635,58714.635,NA,NA,30454.467,13331.953,614179.135,600756.042,497843.716,4006.206,65355.298,65355.298,NA,NA,33550.821,13423.093,658731.613,643499.308,532096.299,4432.915,72563.409,72563.409,NA,NA,34406.685,15232.305,677247.011,661051.054,554693.78,4619.569,67991.862,67991.862,NA,NA,33745.843,16195.957,692348.734,673377.434,564742.61,4717.165,69542.362,69542.362,NA,NA,34375.333,18971.3,734472.5,710961.602,590672.132,5085.28,74859.243,74859.243,NA,NA,40344.947,23510.898,759178.808,728925.677,601090.074,5494.225,78667.225,78667.225,NA,NA,43674.153,30253.131,811886.79,778633.452,647327.538,5885.637,80053.808,80053.808,NA,NA,45366.469,33253.338,890956.412,855125.736,708001.583,6636.44,88062.233,88062.233,NA,NA,52425.481,35830.676,909863.982,871285.303,725186.772,6947.116,85007.571,85007.571,NA,NA,54143.845,38578.679
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,456654.054,444069.281,356520.456,3471.239,53190.691,53190.691,NA,NA,30886.895,12584.773,477661.045,464409.122,373662.555,3375.617,57648.323,57648.323,NA,NA,29722.628,13251.923,501480.333,488148.38,395236.877,3742.401,58714.635,58714.635,NA,NA,30454.467,13331.953,523806.901,510383.808,407471.482,4006.206,65355.298,65355.298,NA,NA,33550.821,13423.093,562517.402,547285.097,435882.088,4432.915,72563.409,72563.409,NA,NA,34406.685,15232.305,576780.694,560584.737,454227.463,4619.569,67991.862,67991.862,NA,NA,33745.843,16195.957,587779.39,568808.09,460173.266,4717.165,69542.362,69542.362,NA,NA,34375.333,18971.3,621388.608,597877.71,477588.24,5085.28,74859.243,74859.243,NA,NA,40344.947,23510.898,632630.499,602377.368,474541.765,5494.225,78667.225,78667.225,NA,NA,43674.153,30253.131,673100.633,639847.295,508541.381,5885.637,80053.808,80053.808,NA,NA,45366.469,33253.338,739503.514,703672.838,556548.685,6636.44,88062.233,88062.233,NA,NA,52425.481,35830.676,752260.297,713681.618,567583.087,6947.116,85007.571,85007.571,NA,NA,54143.845,38578.679
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,7127.59,6957.096,4837.618,NA,1691.83,1691.83,NA,NA,427.648,170.494,7222.316,7027.867,4812.716,NA,1899.483,1899.483,NA,NA,315.668,194.449,7948.004,7763.766,5244.927,NA,2055.311,2055.311,NA,NA,463.528,184.238,9261.125,9081.797,5696.753,NA,2138.838,2138.838,NA,NA,1246.206,179.328,9199.054,9004.423,5755.479,NA,2392.508,2392.508,NA,NA,856.436,194.631,8216.807,8045.399,5482.33,NA,1921.776,1921.776,NA,NA,641.293,171.408,7699.606,7531.262,5714.11,NA,1266.768,1266.768,NA,NA,550.384,168.344,8714.708,8522.086,6257.569,NA,1498.611,1498.611,NA,NA,765.906,192.622,11232.367,10994.473,7777.395,NA,1473.665,1473.665,NA,NA,1743.413,237.894,10095.138,9842.595,7391.183,NA,1345.796,1345.796,NA,NA,1105.616,252.543,17278.808,17006.939,10166.455,NA,1996.931,1996.931,NA,NA,4843.553,271.869,16473.51,16195.653,9880.534,NA,1979.038,1979.038,NA,NA,4336.081,277.857
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,181.224,165.814,152.398,NA,NA,NA,NA,NA,13.416,15.41,187.957,171.796,166.094,NA,NA,NA,NA,NA,5.702,16.161,225.4,209.829,197.853,NA,NA,NA,NA,NA,11.976,15.571,223.394,207.363,195.993,NA,NA,NA,NA,NA,11.37,16.031,199.415,182.3,171.472,NA,NA,NA,NA,NA,10.828,17.115,192.553,174.676,164.753,NA,NA,NA,NA,NA,9.923,17.877,204.202,184.989,177.221,NA,NA,NA,NA,NA,7.768,19.213,294.145,271.58,257.547,NA,NA,NA,NA,NA,14.033,22.565,368.331,343.296,322.761,NA,NA,NA,NA,NA,20.535,25.035,360.685,331.725,312.899,NA,NA,NA,NA,NA,18.826,28.96,584.567,555.71,533.583,NA,NA,NA,NA,NA,22.127,28.857,617.04,589.541,571.24,NA,NA,NA,NA,NA,18.301,27.499
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,4725.28,4570.695,3869.228,NA,296.646,296.646,NA,NA,404.821,154.585,4603.744,4426.051,3844.944,NA,276.714,276.714,NA,NA,304.393,177.693,4988.586,4820.475,4120.129,NA,249.772,249.772,NA,NA,450.574,168.111,6063.789,5900.982,4458.37,NA,218.044,218.044,NA,NA,1224.568,162.807,5707.457,5530.461,4530.645,NA,165.264,165.264,NA,NA,834.552,176.996,5262.51,5109.601,4295.459,NA,188.191,188.191,NA,NA,625.951,152.909,5274.131,5125.796,4402.851,NA,224.804,224.804,NA,NA,498.141,148.335,5612.098,5443.09,4561.118,NA,229.089,229.089,NA,NA,652.883,169.008,6338.054,6126.622,5184.738,NA,0.034,0.034,NA,NA,941.85,211.432,6573.076,6351.105,5338.545,NA,0.018,0.018,NA,NA,1012.542,221.971,12155.697,11914.263,7457.041,NA,NA,NA,NA,NA,4457.222,241.434,11344.436,11095.925,7022.22,NA,NA,NA,NA,NA,4073.705,248.511
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,825.902,825.403,815.992,NA,NA,NA,NA,NA,9.411,0.499,807.846,807.251,801.678,NA,NA,NA,NA,NA,5.573,0.595,928.479,927.923,926.945,NA,NA,NA,NA,NA,0.978,0.556,1053.148,1052.658,1042.39,NA,NA,NA,NA,NA,10.268,0.49,1064.938,1064.418,1053.362,NA,NA,NA,NA,NA,11.056,0.52,1028.159,1027.537,1022.118,NA,NA,NA,NA,NA,5.419,0.622,1179.309,1178.513,1134.038,NA,NA,NA,NA,NA,44.475,0.796,1538.943,1537.894,1438.904,NA,NA,NA,NA,NA,98.99,1.049,3052.351,3050.924,2269.896,NA,NA,NA,NA,NA,781.028,1.427,1815.599,1813.987,1739.739,NA,NA,NA,NA,NA,74.248,1.612,2541.613,2540.035,2175.831,NA,NA,NA,NA,NA,364.204,1.578,2532.996,2531.149,2287.074,NA,NA,NA,NA,NA,244.075,1.847
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1395.184,1395.184,NA,NA,1395.1844753756948,1395.1844753756948,NA,NA,NA,NA,1622.769,1622.769,NA,NA,1622.7688386938028,1622.7688386938028,NA,NA,NA,NA,1805.539,1805.539,NA,NA,1805.538552242926,1805.538552242926,NA,NA,NA,NA,1920.794,1920.794,NA,NA,1920.7936559693637,1920.7936559693637,NA,NA,NA,NA,2227.244,2227.244,NA,NA,2227.2437606923954,2227.2437606923954,NA,NA,NA,NA,1733.585,1733.585,NA,NA,1733.5853539567931,1733.5853539567931,NA,NA,NA,NA,1041.964,1041.964,NA,NA,1041.964087549694,1041.964087549694,NA,NA,NA,NA,1269.522,1269.522,NA,NA,1269.5219226559723,1269.5219226559723,NA,NA,NA,NA,1473.631,1473.631,NA,NA,1473.6305688185137,1473.6305688185137,NA,NA,NA,NA,1345.778,1345.778,NA,NA,1345.7781175098219,1345.7781175098219,NA,NA,NA,NA,1996.931,1996.931,NA,NA,1996.9310479851956,1996.9310479851956,NA,NA,NA,NA,1979.038,1979.038,NA,NA,1979.037680672431,1979.037680672431,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,23730.751,21215.944,19064.359,NA,2150.869,2150.869,NA,NA,0.716,2514.807,23162.981,20565.169,18424.357,NA,2140.387,2140.387,NA,NA,0.425,2597.812,25402.371,22828.053,20372.746,NA,2454.803,2454.803,NA,NA,0.504,2574.318,26871.625,24319.045,21699.916,NA,2617.732,2617.732,NA,NA,1.397,2552.58,29061.612,26189.98,23117.324,NA,3031.01,3031.01,NA,NA,41.646,2871.632,31212.987,28142.352,25152.844,NA,2988.942,2988.942,NA,NA,0.566,3070.635,32511.319,28876.039,26051.004,NA,2815.141,2815.141,NA,NA,9.93,3635.28,34408.924,29876.151,26940.35,NA,2934.951,2934.951,NA,NA,0.85,4532.773,38641.74,32915.386,29756.724,NA,3157.931,3157.931,NA,NA,0.731,5726.354,41713.174,35395.237,32353.38,NA,3041.096,3041.096,NA,NA,0.761,6317.937,44409.917,37674.651,34649.652,NA,3024.265,3024.265,NA,NA,0.735,6735.266,46758.566,39504.794,36382.617,NA,3121.485,3121.485,NA,NA,0.693,7253.772
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,14.621,14.621,14.621,NA,NA,NA,NA,NA,NA,NA,15.529,15.529,15.529,NA,NA,NA,NA,NA,NA,NA,16.503,16.503,16.503,NA,NA,NA,NA,NA,NA,NA,17.033,17.033,17.033,NA,NA,NA,NA,NA,NA,NA,18.054,18.054,18.054,NA,NA,NA,NA,NA,NA,NA,18.981,18.981,18.981,NA,NA,NA,NA,NA,NA,NA,19.684,19.684,19.684,NA,NA,NA,NA,NA,NA,NA,20.424,20.424,20.424,NA,NA,NA,NA,NA,NA,NA,21.449,21.449,21.449,NA,NA,NA,NA,NA,NA,NA,22.531,22.531,22.531,NA,NA,NA,NA,NA,NA,NA,23.594,23.594,23.594,NA,NA,NA,NA,NA,NA,NA,25.055,25.055,25.055,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,13906.558,11530.526,11529.509,NA,0.301,0.301,NA,NA,0.716,2376.032,13236.26,10783.373,10782.645,NA,0.303,0.303,NA,NA,0.425,2452.887,14568.436,12137.335,12136.528,NA,0.303,0.303,NA,NA,0.504,2431.101,15852.346,13440.421,13438.596,NA,0.428,0.428,NA,NA,1.397,2411.925,17085.115,14372.343,14330.331,NA,0.366,0.366,NA,NA,41.646,2712.772,18738.346,15837.14,15836.117,NA,0.457,0.457,NA,NA,0.566,2901.206,19778.992,16343.429,16333.037,NA,0.462,0.462,NA,NA,9.93,3435.563,20561.634,16280.609,16279.361,NA,0.398,0.398,NA,NA,0.85,4281.025,22970.419,17563.717,17562.81,NA,0.176,0.176,NA,NA,0.731,5406.702,25409.853,19443.898,19442.965,NA,0.172,0.172,NA,NA,0.761,5965.955,26768.549,20406.665,20405.797,NA,0.133,0.133,NA,NA,0.735,6361.884,27716.648,20863.674,20862.825,NA,0.156,0.156,NA,NA,0.693,6852.974
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,7035.449,6947.273,6947.238,NA,0.035,0.035,NA,NA,NA,88.176,7130.557,7038.527,7038.494,NA,0.033,0.033,NA,NA,NA,92.03,7650.735,7559.713,7559.688,NA,0.025,0.025,NA,NA,NA,91.022,7642.511,7553.1,7553.043,NA,0.057,0.057,NA,NA,NA,89.411,8129.87,8028.873,8028.845,NA,0.028,0.028,NA,NA,NA,100.997,8601.986,8494.238,8494.208,NA,0.03,0.03,NA,NA,NA,107.748,9008.489,8881.593,8881.593,NA,0.036,0.036,NA,NA,NA,126.896,9960.822,9800.922,9800.901,NA,0.021,0.021,NA,NA,NA,159.9,11479.29,11276.227,11276.227,NA,NA,NA,NA,NA,NA,203.063,12136.229,11912.512,11912.512,NA,NA,NA,NA,NA,NA,223.717,13458.778,13221.557,13221.557,NA,0.001,0.001,NA,NA,NA,237.221,14655.412,14401.005,14401.005,NA,0.001,0.001,NA,NA,NA,254.407
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,106.178,96.159,79.933,NA,16.226,16.226,NA,NA,NA,10.019,111.954,101.412,87.143,NA,14.269,14.269,NA,NA,NA,10.542,119.442,109.136,99.066,NA,10.07,10.07,NA,NA,NA,10.306,124.94,114.844,101.726,NA,13.118,13.118,NA,NA,NA,10.096,131.693,120.31,81.513,NA,38.797,38.797,NA,NA,NA,11.383,138.927,126.833,104.745,NA,22.088,22.088,NA,NA,NA,12.094,144.546,130.124,122.024,NA,8.1,8.1,NA,NA,NA,14.422,149.896,131.636,128.197,NA,3.439,3.439,NA,NA,NA,18.26,156.814,133.677,133.676,NA,0.001,0.001,NA,NA,NA,23.137,163.366,138.058,137.737,NA,0.321,0.321,NA,NA,NA,25.308,175.481,148.492,147.823,NA,0.669,0.669,NA,NA,NA,26.989,186.244,156.934,156.227,NA,0.707,0.707,NA,NA,NA,29.31
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",533.638,493.058,493.058,NA,NA,NA,NA,NA,NA,40.58,542.899,500.546,500.546,NA,NA,NA,NA,NA,NA,42.353,602.85,560.961,560.961,NA,NA,NA,NA,NA,NA,41.889,630.666,589.518,589.518,NA,NA,NA,NA,NA,NA,41.148,705.061,658.581,658.581,NA,NA,NA,NA,NA,NA,46.48,748.38,698.793,698.793,NA,NA,NA,NA,NA,NA,49.587,753.065,694.666,694.666,NA,NA,NA,NA,NA,NA,58.399,785.055,711.467,711.467,NA,NA,NA,NA,NA,NA,73.588,856.014,762.562,762.562,NA,NA,NA,NA,NA,NA,93.452,940.592,837.635,837.635,NA,NA,NA,NA,NA,NA,102.957,960.053,850.881,850.881,NA,NA,NA,NA,NA,NA,109.172,1054.586,937.505,937.505,NA,NA,NA,NA,NA,NA,117.081
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,2134.307,2134.307,NA,NA,2134.3067847155107,2134.3067847155107,NA,NA,NA,NA,2125.782,2125.782,NA,NA,2125.781616524853,2125.781616524853,NA,NA,NA,NA,2444.405,2444.405,NA,NA,2444.404661376972,2444.404661376972,NA,NA,NA,NA,2604.129,2604.129,NA,NA,2604.1286359481524,2604.1286359481524,NA,NA,NA,NA,2991.819,2991.819,NA,NA,2991.818514427578,2991.818514427578,NA,NA,NA,NA,2966.367,2966.367,NA,NA,2966.367415927595,2966.367415927595,NA,NA,NA,NA,2806.543,2806.543,NA,NA,2806.5432830380287,2806.5432830380287,NA,NA,NA,NA,2931.093,2931.093,NA,NA,2931.0932177362342,2931.0932177362342,NA,NA,NA,NA,3157.754,3157.754,NA,NA,3157.754225132161,3157.754225132161,NA,NA,NA,NA,3040.603,3040.603,NA,NA,3040.6031852748833,3040.6031852748833,NA,NA,NA,NA,3023.462,3023.462,NA,NA,3023.4621589879985,3023.4621589879985,NA,NA,NA,NA,3120.621,3120.621,NA,NA,3120.621042829817,3120.621042829817,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,11022.646,10436.357,7245.454,NA,2423.665,2423.665,NA,NA,767.238,586.289,10764.998,10150.694,7050.343,NA,2309.579,2309.579,NA,NA,790.772,614.304,10571.016,9963.686,7013.585,NA,2307.712,2307.712,NA,NA,642.389,607.33,11917.073,11318.657,8055.297,NA,2535.926,2535.926,NA,NA,727.434,598.416,12059.542,11404.996,7650.096,NA,2832.661,2832.661,NA,NA,922.239,654.546,11100.24,10431.181,7128.838,NA,2425.112,2425.112,NA,NA,877.231,669.059,10934.794,10151.652,7302.226,NA,2098.585,2098.585,NA,NA,750.841,783.142,12253.333,11290.425,8211.749,NA,2149.432,2149.432,NA,NA,929.244,962.908,12365.637,11184.04,8084.149,NA,2307.984,2307.984,NA,NA,791.907,1181.597,12639.19,11355.396,8298.798,NA,2305.315,2305.315,NA,NA,751.283,1283.794,13718.595,12352.932,9181.89,NA,2358.528,2358.528,NA,NA,812.514,1365.663,14822.901,13345.025,9868.905,NA,2480.013,2480.013,NA,NA,996.107,1477.876
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,2730.053,2730.053,1842.314,NA,433.942,433.942,NA,NA,453.797,NA,2791.946,2791.946,2002.884,NA,296.264,296.264,NA,NA,492.798,NA,2322.751,2322.751,1839.687,NA,110.161,110.161,NA,NA,372.903,NA,2641.958,2641.958,2039.938,NA,166.84,166.84,NA,NA,435.18,NA,3520.35,3520.35,2478.043,NA,385.569,385.569,NA,NA,656.738,NA,3275.552,3275.552,2531.472,NA,167.438,167.438,NA,NA,576.642,NA,3181.466,3181.466,2727.566,NA,8.884,8.884,NA,NA,445.016,NA,4010.037,4010.037,3385.44,NA,4.873,4.873,NA,NA,619.724,NA,3874.877,3874.877,3394.003,NA,0.106,0.106,NA,NA,480.768,NA,3929.77,3929.77,3485.41,NA,0.054,0.054,NA,NA,444.306,NA,4405.964,4405.964,3952.709,NA,NA,NA,NA,NA,453.255,NA,4658.043,4658.043,4094.174,NA,NA,NA,NA,NA,563.869,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,3898.18,3851.063,3445.226,NA,289.549,289.549,NA,NA,116.288,47.117,3418.252,3371.935,2967.417,NA,326.889,326.889,NA,NA,77.629,46.317,3354.247,3308.08,2919.221,NA,328.307,328.307,NA,NA,60.552,46.167,4162.202,4116.914,3662.631,NA,386.903,386.903,NA,NA,67.38,45.288,3042.459,3006.993,2714.64,NA,244.07,244.07,NA,NA,48.283,35.466,2172.388,2160.201,2022.107,NA,78.022,78.022,NA,NA,60.072,12.187,2203.024,2188.973,1998.755,NA,101.476,101.476,NA,NA,88.742,14.051,2473.283,2455.07,2299.8,NA,73.474,73.474,NA,NA,81.796,18.213,2296.581,2272.451,2201.504,NA,2.938,2.938,NA,NA,68.009,24.13,2320.59,2292.859,2239.562,NA,1.301,1.301,NA,NA,51.996,27.731,2649.366,2618.338,2549.047,NA,0.072,0.072,NA,NA,69.219,31.028,3034,2998.902,2941.907,NA,0.062,0.062,NA,NA,56.933,35.098
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,2455.516,1916.344,1916.344,NA,NA,NA,NA,NA,NA,539.172,2607.759,2039.772,2039.772,NA,NA,NA,NA,NA,NA,567.987,2772.28,2211.117,2211.117,NA,NA,NA,NA,NA,NA,561.163,2860.68,2307.552,2307.552,NA,NA,NA,NA,NA,NA,553.128,3032.569,2413.489,2413.489,NA,NA,NA,NA,NA,NA,619.08,3187.271,2530.399,2530.399,NA,NA,NA,NA,NA,NA,656.872,3305.199,2536.108,2536.108,NA,NA,NA,NA,NA,NA,769.091,3429.504,2484.809,2484.809,NA,NA,NA,NA,NA,NA,944.695,3601.618,2444.151,2444.151,NA,NA,NA,NA,NA,NA,1157.467,3783.298,2527.235,2527.235,NA,NA,NA,NA,NA,NA,1256.063,3961.786,2627.151,2627.151,NA,NA,NA,NA,NA,NA,1334.635,4207.21,2764.432,2764.432,NA,NA,NA,NA,NA,NA,1442.778
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,238.723,238.723,41.57,NA,NA,NA,NA,NA,197.153,NA,260.615,260.615,40.27,NA,NA,NA,NA,NA,220.345,NA,252.494,252.494,43.56,NA,NA,NA,NA,NA,208.934,NA,270.05,270.05,45.176,NA,NA,NA,NA,NA,224.874,NA,261.142,261.142,43.924,NA,NA,NA,NA,NA,217.218,NA,285.377,285.377,44.86,NA,NA,NA,NA,NA,240.517,NA,256.88,256.88,39.797,NA,NA,NA,NA,NA,217.083,NA,269.424,269.424,41.7,NA,NA,NA,NA,NA,227.724,NA,287.621,287.621,44.491,NA,NA,NA,NA,NA,243.13,NA,301.572,301.572,46.591,NA,NA,NA,NA,NA,254.981,NA,343.023,343.023,52.983,NA,NA,NA,NA,NA,290.04,NA,443.697,443.697,68.392,NA,NA,NA,NA,NA,375.305,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,1700.174,1700.174,NA,NA,1700.1737099506424,1700.1737099506424,NA,NA,NA,NA,1686.426,1686.426,NA,NA,1686.4255561142922,1686.4255561142922,NA,NA,NA,NA,1869.244,1869.244,NA,NA,1869.243823545566,1869.243823545566,NA,NA,NA,NA,1982.183,1982.183,NA,NA,1982.182527906155,1982.182527906155,NA,NA,NA,NA,2203.022,2203.022,NA,NA,2203.0220658153535,2203.0220658153535,NA,NA,NA,NA,2179.652,2179.652,NA,NA,2179.6524071187555,2179.6524071187555,NA,NA,NA,NA,1988.225,1988.225,NA,NA,1988.2248393697032,1988.2248393697032,NA,NA,NA,NA,2071.085,2071.085,NA,NA,2071.085138074633,2071.085138074633,NA,NA,NA,NA,2304.94,2304.94,NA,NA,2304.9404997119673,2304.9404997119673,NA,NA,NA,NA,2303.96,2303.96,NA,NA,2303.95996686733,2303.95996686733,NA,NA,NA,NA,2358.456,2358.456,NA,NA,2358.456017833746,2358.456017833746,NA,NA,NA,NA,2479.951,2479.951,NA,NA,2479.9511038441433,2479.9511038441433,NA,NA,NA,NA
